Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.01138E-5,0.003011376,0.195314529,1,0,0
3.19611E-5,0.177855899,0.204841853,0.9942,0,0
3.21562E-5,0.203444292,0.205834983,0.9934,0,0
3.43446E-5,0.628698495,0.216805869,0.9804,0.00591716,0
3.49424E-5,0.837336245,0.219750403,0.9744,0.00591716,0
3.56071E-5,0.907746101,0.222998306,0.9724,0.00591716,0
3.60903E-5,1.011483744,0.225342578,0.9695,0.00591716,0
3.64843E-5,1.171009885,0.227243832,0.9651,0.00591716,0
3.64843E-5,1.233033217,0.227243832,0.9633,0.00591716,0
3.73354E-5,1.33340111,0.231318836,0.9607,0.00887574,0
3.75601E-5,1.400640604,0.232387512,0.9589,0.00887574,0
3.80192E-5,1.548092513,0.234561517,0.955,0.00887574,0
3.89732E-5,1.762136224,0.239040526,0.9494,0.00887574,0
3.97067E-5,2.052671896,0.242448251,0.942,0.01183432,0
4.1916E-5,2.250365839,0.252531753,0.9371,0.017751479,0
4.24122E-5,2.516146507,0.254759799,0.9308,0.020710059,0
4.38838E-5,2.762868321,0.261289526,0.9251,0.023668639,0
4.42359E-5,3.114573295,0.26283474,0.9171,0.026627219,0
4.47402E-5,3.530545344,0.265037072,0.9077,0.029585799,0
4.54097E-5,3.84911856,0.2679404,0.9006,0.038461538,0
4.5524E-5,4.008338282,0.268434033,0.897,0.038461538,0
4.65103E-5,4.425666325,0.272663791,0.8881,0.044378698,0
4.66825E-5,4.509402024,0.273397449,0.8863,0.044378698,0
4.82809E-5,4.776912084,0.280136262,0.8806,0.044378698,0
4.83747E-5,5.023333465,0.280527626,0.8755,0.047337278,0
4.89633E-5,5.344023997,0.28297519,0.8689,0.050295858,0
4.89633E-5,5.579047861,0.28297519,0.864,0.050295858,0
4.95484E-5,5.929428232,0.285391748,0.857,0.053254438,0
4.96052E-5,6.043395303,0.285625157,0.8547,0.053254438,0
4.97761E-5,6.520698596,0.286327439,0.845,0.056213018,0
4.98819E-5,6.824936368,0.286761538,0.8389,0.062130178,0
4.99485E-5,7.004750924,0.2870346,0.8353,0.065088757,0
5.0306E-5,7.255959198,0.288496362,0.8304,0.071005917,0
5.04864E-5,7.864844276,0.289231663,0.8183,0.073964497,0
5.05373E-5,8.0768922,0.289438903,0.8141,0.073964497,0
5.10877E-5,8.269114403,0.291671569,0.8103,0.076923077,0
5.14603E-5,8.658039407,0.293175156,0.8027,0.076923077,0
5.16735E-5,8.977114296,0.294033014,0.7965,0.079881657,0
5.1684E-5,9.095964489,0.294074849,0.7942,0.082840237,0
5.18461E-5,9.328866285,0.29472531,0.7897,0.082840237,0
5.24264E-5,9.568959649,0.297044264,0.7851,0.085798817,0
5.25341E-5,9.805033449,0.297473213,0.7806,0.085798817,0
5.29272E-5,10.053017663,0.299033424,0.7758,0.085798817,0
5.33908E-5,10.509990712,0.300864632,0.7673,0.094674556,0
5.34158E-5,10.750251802,0.300963075,0.7628,0.097633136,0
5.35053E-5,11.070755485,0.301315416,0.7568,0.097633136,0
5.3531E-5,11.274078164,0.301416488,0.753,0.097633136,0
5.40444E-5,11.628188844,0.303430147,0.7464,0.097633136,0
5.43484E-5,11.844916747,0.304617003,0.7424,0.100591716,0
5.56939E-5,12.068313799,0.309822162,0.7383,0.100591716,0
5.61585E-5,12.337456582,0.311601245,0.7334,0.100591716,0
5.67147E-5,12.545776689,0.313719294,0.7298,0.109467456,0
5.72166E-5,12.893579267,0.315619213,0.7237,0.109467456,0
5.77737E-5,13.118369376,0.31771589,0.7197,0.112426036,0
5.84667E-5,13.293222886,0.320306284,0.7168,0.115384615,0
5.86354E-5,13.580015133,0.320933897,0.7119,0.115384615,0
5.87795E-5,13.767686971,0.321469129,0.7087,0.115384615,0
5.91883E-5,14.1097778,0.322982615,0.7029,0.115384615,0
5.95185E-5,14.323145483,0.324200244,0.6993,0.115384615,0
6.00106E-5,14.52014368,0.326006854,0.696,0.115384615,0
6.05422E-5,14.870438568,0.327947934,0.6902,0.121301775,0
6.07518E-5,15.082509272,0.328709921,0.6867,0.124260355,0
6.08863E-5,15.325643126,0.329197933,0.6827,0.124260355,0
6.11517E-5,15.533017621,0.330159122,0.6793,0.124260355,0
6.16305E-5,15.870326754,0.331886225,0.6738,0.127218935,0
6.21833E-5,16.130450463,0.333869458,0.6696,0.130177515,0
6.257E-5,16.380343856,0.335249662,0.6655,0.130177515,0
6.31943E-5,16.594455596,0.337465906,0.6622,0.136094675,0
6.31943E-5,16.790358067,0.337465906,0.659,0.136094675,0
6.33217E-5,17.094302347,0.337916272,0.6542,0.139053254,0
6.36358E-5,17.450434804,0.339024207,0.6486,0.142011834,0
6.38448E-5,17.527031248,0.339759153,0.6475,0.147928994,0
6.38576E-5,17.820764834,0.339804395,0.6428,0.147928994,0
6.47806E-5,18.026905927,0.343031,0.6397,0.150887574,0
6.51977E-5,18.28727122,0.344478811,0.6356,0.153846154,0
6.57944E-5,18.503415649,0.346538946,0.6324,0.156804734,0
6.61209E-5,18.786975137,0.347660935,0.6281,0.156804734,0
6.63789E-5,19.025449069,0.348544526,0.6244,0.159763314,0
6.72563E-5,19.398622517,0.351532089,0.6189,0.162721893,0
6.78276E-5,19.553562391,0.353462608,0.6166,0.162721893,0
6.85136E-5,19.791724449,0.355765687,0.6131,0.162721893,0
6.96484E-5,20.047037479,0.359539551,0.6094,0.165680473,0
6.9684E-5,20.32571292,0.359657397,0.6053,0.168639053,0
7.03818E-5,20.698248963,0.361955185,0.6001,0.183431953,0
7.06813E-5,20.775698863,0.362936657,0.599,0.183431953,0
7.1105E-5,21.116391022,0.364319604,0.5941,0.183431953,0
7.12553E-5,21.557384604,0.364808599,0.588,0.189349112,0
7.15345E-5,22.050916414,0.365715321,0.581,0.189349112,0
7.22357E-5,22.29556068,0.367981027,0.5777,0.195266272,0
7.22611E-5,22.714624326,0.368062874,0.5718,0.195266272,0
7.25763E-5,22.903259393,0.369075585,0.5693,0.204142012,0
7.25763E-5,23.135503396,0.369075585,0.566,0.204142012,0
7.33499E-5,23.259683199,0.371548036,0.5644,0.207100592,0
7.45152E-5,23.598856403,0.375236034,0.5598,0.207100592,0
7.45362E-5,23.911822512,0.375301975,0.5556,0.207100592,0
7.45772E-5,24.001270059,0.375431026,0.5544,0.207100592,0
7.60882E-5,24.505520462,0.380145977,0.5477,0.210059172,0
7.62511E-5,24.932428865,0.380649908,0.542,0.210059172,0
7.65376E-5,25.062271763,0.381534485,0.5404,0.213017751,0
7.66289E-5,25.307392858,0.381815703,0.5371,0.213017751,0
7.75626E-5,25.7257626,0.384678644,0.5317,0.215976331,0
7.79003E-5,26.130844267,0.385707406,0.5265,0.218934911,0
7.86183E-5,26.44323044,0.387883528,0.5226,0.221893491,0
7.86183E-5,26.569019769,0.387883528,0.5209,0.221893491,0
7.93657E-5,27.020703811,0.390132306,0.5153,0.227810651,0
8.04804E-5,27.493990912,0.393455985,0.5093,0.230769231,0
8.06777E-5,27.502058684,0.394040388,0.5093,0.233727811,0
8.1452E-5,27.841404352,0.396323184,0.5051,0.236686391,0
8.15804E-5,28.012476693,0.396700086,0.503,0.23964497,0
8.17565E-5,28.395921963,0.397216342,0.4983,0.23964497,0
8.19355E-5,28.706885413,0.397740074,0.4945,0.24260355,0
8.22571E-5,28.780659498,0.398678951,0.4936,0.24260355,0
8.23296E-5,29.216912128,0.398890176,0.4882,0.24260355,0
8.23927E-5,29.282826263,0.399073768,0.4874,0.24556213,0
8.29055E-5,29.538824792,0.400562783,0.4844,0.25147929,0
8.33308E-5,29.79620538,0.40179199,0.4813,0.25147929,0
8.48906E-5,30.063848237,0.40625737,0.4781,0.25147929,0
8.57126E-5,30.345121015,0.408583878,0.4748,0.25147929,0
8.5908E-5,30.662847666,0.40913436,0.4711,0.25443787,0
8.62132E-5,31.058924697,0.409991717,0.4665,0.26035503,0
8.64425E-5,31.343696562,0.410634453,0.4632,0.26035503,0
8.64425E-5,31.94014963,0.410634453,0.4562,0.26035503,0
8.66078E-5,32.347206139,0.411096865,0.4515,0.263313609,0
8.6963E-5,32.572989851,0.41208825,0.449,0.266272189,0
8.71252E-5,32.77306271,0.412539829,0.4467,0.266272189,0
