X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-72.341266,19.173888,train,6.38576468075297E-5,17.820775287906102,0.33980439542052704
-72.643786,19.526274,train,4.977605975386557E-5,6.520586193352294,0.28632743850937625
-71.75,19.166667,train,7.790032074513978E-5,26.130853292758808,0.38570740630743183
-72.66656,19.47498,train,4.977605975386557E-5,6.520586193352294,0.28632743850937625
-72.478343,19.410211,train,4.645780717533427E-5,4.4034553062538855,0.2724400469819254
-72.695,19.44306,train,4.9605159536587605E-5,6.0433141146797,0.2856251570222448
-72.480701,19.483752,train,4.3883806471436195E-5,2.7628747851757973,0.26128952604396816
-72.438467,19.441674,train,4.5524022475269285E-5,4.008347791845024,0.2684340327586439
-72.61005,19.30483,train,4.8374675087131794E-5,5.023268016563019,0.2805276262329511
-72.676419,19.67143,train,1.0152856415598176E-4,45.012934463405756,0.4500466591459476
-72.719826,19.645904,train,9.33447136248148E-5,39.62676462811911,0.42934522455916024
-72.780749,19.598861,train,6.054224564431693E-5,14.870484750358901,0.32794793413110424
-72.918254,19.63385,train,5.146025160008445E-5,8.657988886502551,0.2931751557599108
-72.699036,19.113489,train,5.1846050898469695E-5,9.328795736976595,0.29472531028132454
-72.491499,19.074761,train,7.198034508458169E-5,22.20646895745008,0.36715782690677407
-72.467605,19.050792,train,7.110502123419302E-5,21.116453325012913,0.36431960435560384
-72.316337,18.914082,train,1.072860048840158E-4,47.736290805794575,0.46373276936104324
-72.516821,19.261275,train,4.988186616596376E-5,6.824839075071802,0.28676153791933884
-72.477194,19.121192,train,7.662885973019274E-5,25.30728474212652,0.38181570276131316
-72.303965,19.107753,train,7.756264925215536E-5,25.725821679494214,0.38467864382206773
-72.689717,19.256353,train,5.024338009464754E-5,7.211957412428994,0.28824077011423094
-72.689355,19.310932,train,4.99484877572892E-5,7.004717869681583,0.28703460016917964
-72.334125,19.370787,train,6.332172501592364E-5,17.094330710522293,0.3379162718541363
-72.431867,19.314418,train,4.480860381214975E-5,3.5630944439599777,0.26533485384225464
-72.361379,19.51827,train,6.163045123726415E-5,15.870292401209376,0.3318862246825951
-72.14778,18.92361,train,1.2126654595921351E-4,55.39529072275328,0.49429240479264724
-71.723428,19.240644,train,8.92873951979487E-5,35.58286606256276,0.4184931991803842
-72.041447,19.153611,train,8.864076442749084E-5,34.82158715703137,0.41672542141563335
-72.114809,19.128249,train,8.864076442749084E-5,34.82158715703137,0.41672542141563335
-71.790428,19.168004,train,8.915984164184918E-5,35.322047791195395,0.4181453385013864
-72.019037,19.144339,train,8.864076442749084E-5,34.82158715703137,0.41672542141563335
-72.138886,19.176316,train,8.660776771387216E-5,32.347126633383034,0.41109686472290224
