variable,x,y
HTI_rain_wind_rain_total,61.6,0.0
HTI_rain_wind_rain_total,62.9296,0.0
HTI_rain_wind_rain_total,64.2592,0.0
HTI_rain_wind_rain_total,65.5888,0.0
HTI_rain_wind_rain_total,66.9184,0.0
HTI_rain_wind_rain_total,68.248,0.0
HTI_rain_wind_rain_total,69.5776,0.0
HTI_rain_wind_rain_total,70.9072,0.0
HTI_rain_wind_rain_total,72.2368,0.0
HTI_rain_wind_rain_total,73.5664,0.0
HTI_rain_wind_rain_total,74.896,0.0
HTI_rain_wind_rain_total,76.2256,0.0
HTI_rain_wind_rain_total,77.5552,0.0
HTI_rain_wind_rain_total,78.8848,0.0
HTI_rain_wind_rain_total,80.2144,0.0
HTI_rain_wind_rain_total,81.544,0.0
HTI_rain_wind_rain_total,82.8736,0.0
HTI_rain_wind_rain_total,84.2032,0.0
HTI_rain_wind_rain_total,85.53280000000001,0.0
HTI_rain_wind_rain_total,86.86240000000001,0.0
HTI_rain_wind_rain_total,88.19200000000001,0.0
HTI_rain_wind_rain_total,89.5216,0.0
HTI_rain_wind_rain_total,90.8512,0.0
HTI_rain_wind_rain_total,92.1808,0.0
HTI_rain_wind_rain_total,93.5104,0.0
HTI_rain_wind_rain_total,94.84,0.0
HTI_rain_wind_rain_total,96.1696,0.0
HTI_rain_wind_rain_total,97.4992,0.0
HTI_rain_wind_rain_total,98.8288,0.0
HTI_rain_wind_rain_total,100.1584,0.0
HTI_rain_wind_rain_total,101.488,0.0
HTI_rain_wind_rain_total,102.8176,0.0
HTI_rain_wind_rain_total,104.1472,0.0
HTI_rain_wind_rain_total,105.4768,0.0
HTI_rain_wind_rain_total,106.8064,0.0
HTI_rain_wind_rain_total,108.136,0.0
HTI_rain_wind_rain_total,109.4656,0.0
HTI_rain_wind_rain_total,110.7952,0.0
HTI_rain_wind_rain_total,112.1248,0.0
HTI_rain_wind_rain_total,113.45439999999999,0.0
HTI_rain_wind_rain_total,114.78399999999999,0.0
HTI_rain_wind_rain_total,116.11359999999999,0.0
HTI_rain_wind_rain_total,117.44319999999999,0.0
HTI_rain_wind_rain_total,118.77279999999999,0.0
HTI_rain_wind_rain_total,120.10239999999999,0.0
HTI_rain_wind_rain_total,121.43199999999999,0.0
HTI_rain_wind_rain_total,122.7616,0.0
HTI_rain_wind_rain_total,124.0912,0.0
HTI_rain_wind_rain_total,125.4208,0.0
HTI_rain_wind_rain_total,126.75039999999998,0.0
HTI_rain_wind_rain_total,128.08,0.0
HTI_rain_wind_rain_total,129.40959999999998,0.0
HTI_rain_wind_rain_total,130.7392,0.0
HTI_rain_wind_rain_total,132.06879999999998,0.0
HTI_rain_wind_rain_total,133.3984,0.0
HTI_rain_wind_rain_total,134.728,0.0
HTI_rain_wind_rain_total,136.05759999999998,0.0
HTI_rain_wind_rain_total,137.3872,0.0
HTI_rain_wind_rain_total,138.71679999999998,0.0
HTI_rain_wind_rain_total,140.0464,0.0
HTI_rain_wind_rain_total,141.376,0.0
HTI_rain_wind_rain_total,142.7056,0.0
HTI_rain_wind_rain_total,144.0352,0.0
HTI_rain_wind_rain_total,145.3648,0.0
HTI_rain_wind_rain_total,146.6944,0.0
HTI_rain_wind_rain_total,148.024,0.0
HTI_rain_wind_rain_total,149.3536,0.0
HTI_rain_wind_rain_total,150.6832,0.0
HTI_rain_wind_rain_total,152.0128,0.0
HTI_rain_wind_rain_total,153.3424,0.0
HTI_rain_wind_rain_total,154.672,0.0
HTI_rain_wind_rain_total,156.0016,0.0
HTI_rain_wind_rain_total,157.3312,0.0
HTI_rain_wind_rain_total,158.6608,0.0
HTI_rain_wind_rain_total,159.9904,0.0
HTI_rain_wind_rain_total,161.32,0.0
HTI_rain_wind_rain_total,162.6496,0.0
HTI_rain_wind_rain_total,163.9792,0.0
HTI_rain_wind_rain_total,165.3088,0.0
HTI_rain_wind_rain_total,166.6384,0.0
HTI_rain_wind_rain_total,167.968,0.0
HTI_rain_wind_rain_total,169.2976,0.0
HTI_rain_wind_rain_total,170.6272,0.0
HTI_rain_wind_rain_total,171.9568,0.0
HTI_rain_wind_rain_total,173.2864,-0.051169395446777344
HTI_rain_wind_rain_total,174.61599999999999,-0.051169395446777344
HTI_rain_wind_rain_total,175.94559999999998,-0.051169395446777344
HTI_rain_wind_rain_total,177.2752,-0.051169395446777344
HTI_rain_wind_rain_total,178.60479999999998,-0.051169395446777344
HTI_rain_wind_rain_total,179.93439999999998,-0.051169395446777344
HTI_rain_wind_rain_total,181.26399999999998,-0.051169395446777344
HTI_rain_wind_rain_total,182.59359999999998,-0.051169395446777344
HTI_rain_wind_rain_total,183.9232,-0.051169395446777344
HTI_rain_wind_rain_total,185.25279999999998,-0.051169395446777344
HTI_rain_wind_rain_total,186.5824,-0.051169395446777344
HTI_rain_wind_rain_total,187.91199999999998,-0.051169395446777344
HTI_rain_wind_rain_total,189.2416,-0.051169395446777344
HTI_rain_wind_rain_total,190.5712,-0.051169395446777344
HTI_rain_wind_rain_total,191.90079999999998,-0.051169395446777344
HTI_rain_wind_rain_total,193.23039999999997,-0.051169395446777344
HTI_rain_wind_rain_total,194.56,-0.051169395446777344
HTI_rain_wind_rain_total,195.88959999999997,-0.051169395446777344
HTI_rain_wind_rain_total,197.21919999999997,-0.051169395446777344
HTI_rain_wind_rain_total,198.54879999999997,-0.051169395446777344
HTI_rain_wind_rain_total,199.8784,-0.051169395446777344
HTI_rain_wind_rain_total,201.208,-0.051169395446777344
HTI_rain_wind_rain_total,202.53759999999997,-0.051169395446777344
HTI_rain_wind_rain_total,203.86719999999997,-0.051169395446777344
HTI_rain_wind_rain_total,205.1968,-0.051169395446777344
HTI_rain_wind_rain_total,206.5264,-0.051169395446777344
HTI_rain_wind_rain_total,207.856,-0.051169395446777344
HTI_rain_wind_rain_total,209.18559999999997,-0.051169395446777344
HTI_rain_wind_rain_total,210.51519999999996,-0.051169395446777344
HTI_rain_wind_rain_total,211.8448,-0.051169395446777344
HTI_rain_wind_rain_total,213.1744,-0.051169395446777344
HTI_rain_wind_rain_total,214.504,-0.051169395446777344
HTI_rain_wind_rain_total,215.83359999999996,-0.051169395446777344
HTI_rain_wind_rain_total,217.1632,-0.051169395446777344
HTI_rain_wind_rain_total,218.4928,-0.051169395446777344
HTI_rain_wind_rain_total,219.8224,-0.051169395446777344
HTI_rain_wind_rain_total,221.152,-0.051169395446777344
HTI_rain_wind_rain_total,222.48159999999996,-0.051169395446777344
HTI_rain_wind_rain_total,223.81119999999999,-0.051169395446777344
HTI_rain_wind_rain_total,225.14079999999998,-0.051169395446777344
HTI_rain_wind_rain_total,226.47039999999998,-0.051169395446777344
HTI_rain_wind_rain_total,227.79999999999998,-0.051169395446777344
HTI_rain_wind_rain_total,229.12959999999998,-0.051169395446777344
HTI_rain_wind_rain_total,230.45919999999998,-0.051169395446777344
HTI_rain_wind_rain_total,231.78879999999998,-0.051169395446777344
HTI_rain_wind_rain_total,233.11839999999998,-0.051169395446777344
HTI_rain_wind_rain_total,234.448,-0.051169395446777344
HTI_rain_wind_rain_total,235.77759999999998,-0.051169395446777344
HTI_rain_wind_rain_total,237.10719999999998,-0.051169395446777344
HTI_rain_wind_rain_total,238.43679999999998,-0.051169395446777344
HTI_rain_wind_rain_total,239.76639999999998,-0.051169395446777344
HTI_rain_wind_rain_total,241.096,-0.051169395446777344
HTI_rain_wind_rain_total,242.42559999999997,-0.051169395446777344
HTI_rain_wind_rain_total,243.75519999999997,-0.051169395446777344
HTI_rain_wind_rain_total,245.08479999999997,-0.051169395446777344
HTI_rain_wind_rain_total,246.4144,-0.051169395446777344
HTI_rain_wind_rain_total,247.744,-0.051169395446777344
HTI_rain_wind_rain_total,249.07359999999997,-0.051169395446777344
HTI_rain_wind_rain_total,250.40319999999997,-0.051169395446777344
HTI_rain_wind_rain_total,251.73279999999997,-0.051169395446777344
HTI_rain_wind_rain_total,253.0624,-0.051169395446777344
HTI_rain_wind_rain_total,254.392,-0.051169395446777344
HTI_rain_wind_rain_total,255.72159999999997,-0.051169395446777344
HTI_rain_wind_rain_total,257.0512,-0.051169395446777344
HTI_rain_wind_rain_total,258.3808,-0.051169395446777344
HTI_rain_wind_rain_total,259.7104,-0.051169395446777344
HTI_rain_wind_rain_total,261.04,-0.051169395446777344
HTI_rain_wind_rain_total,262.3696,-0.051169395446777344
HTI_rain_wind_rain_total,263.6992,-0.051169395446777344
HTI_rain_wind_rain_total,265.0288,-0.051169395446777344
HTI_rain_wind_rain_total,266.3584,-0.051169395446777344
HTI_rain_wind_rain_total,267.688,-0.051169395446777344
HTI_rain_wind_rain_total,269.01759999999996,-0.051169395446777344
HTI_rain_wind_rain_total,270.3472,-0.051169395446777344
HTI_rain_wind_rain_total,271.6768,-0.051169395446777344
HTI_rain_wind_rain_total,273.0064,-0.051169395446777344
HTI_rain_wind_rain_total,274.336,-0.051169395446777344
HTI_rain_wind_rain_total,275.6656,-0.051169395446777344
HTI_rain_wind_rain_total,276.9952,-0.051169395446777344
HTI_rain_wind_rain_total,278.3248,-0.051169395446777344
HTI_rain_wind_rain_total,279.6544,-0.051169395446777344
HTI_rain_wind_rain_total,280.984,-0.051169395446777344
HTI_rain_wind_rain_total,282.3136,-0.051169395446777344
HTI_rain_wind_rain_total,283.6432,-0.051169395446777344
HTI_rain_wind_rain_total,284.9728,-0.051169395446777344
HTI_rain_wind_rain_total,286.3024,-0.051169395446777344
HTI_rain_wind_rain_total,287.632,-0.051169395446777344
HTI_rain_wind_rain_total,288.9616,-0.051169395446777344
HTI_rain_wind_rain_total,290.2912,-0.051169395446777344
HTI_rain_wind_rain_total,291.6208,-0.051169395446777344
HTI_rain_wind_rain_total,292.9504,-0.051169395446777344
HTI_rain_wind_rain_total,294.28,-0.051169395446777344
HTI_rain_wind_rain_total,295.6096,-0.051169395446777344
HTI_rain_wind_rain_total,296.93919999999997,-0.051169395446777344
HTI_rain_wind_rain_total,298.2688,-0.051169395446777344
HTI_rain_wind_rain_total,299.5984,-0.051169395446777344
HTI_rain_wind_rain_total,300.928,-0.051169395446777344
HTI_rain_wind_rain_total,302.25759999999997,-0.051169395446777344
HTI_rain_wind_rain_total,303.5872,-0.051169395446777344
HTI_rain_wind_rain_total,304.9168,-0.051169395446777344
HTI_rain_wind_rain_total,306.2464,-0.051169395446777344
HTI_rain_wind_rain_total,307.57599999999996,-0.051169395446777344
HTI_rain_wind_rain_total,308.9056,-0.051169395446777344
HTI_rain_wind_rain_total,310.23519999999996,-0.051169395446777344
HTI_rain_wind_rain_total,311.5648,-0.051169395446777344
HTI_rain_wind_rain_total,312.8944,-0.051169395446777344
HTI_rain_wind_rain_total,314.224,-0.051169395446777344
HTI_rain_wind_rain_total,315.55359999999996,-0.051169395446777344
HTI_rain_wind_rain_total,316.8832,-0.051169395446777344
HTI_rain_wind_rain_total,318.2128,-0.051169395446777344
HTI_rain_wind_rain_total,319.54240000000004,-0.051169395446777344
HTI_rain_wind_rain_total,320.872,-0.051169395446777344
HTI_rain_wind_rain_total,322.2016,-0.051169395446777344
HTI_rain_wind_rain_total,323.5312,-0.051169395446777344
HTI_rain_wind_rain_total,324.8608,-0.051169395446777344
HTI_rain_wind_rain_total,326.1904,-0.051169395446777344
HTI_rain_wind_rain_total,327.52000000000004,-0.051169395446777344
HTI_rain_wind_rain_total,328.8496,-0.051169395446777344
HTI_rain_wind_rain_total,330.1792,-0.051169395446777344
HTI_rain_wind_rain_total,331.5088,-0.051169395446777344
HTI_rain_wind_rain_total,332.8384,-0.051169395446777344
HTI_rain_wind_rain_total,334.168,-0.051169395446777344
HTI_rain_wind_rain_total,335.4976,-0.051169395446777344
HTI_rain_wind_rain_total,336.82719999999995,-0.051169395446777344
HTI_rain_wind_rain_total,338.15680000000003,-0.051169395446777344
HTI_rain_wind_rain_total,339.4864,-0.051169395446777344
HTI_rain_wind_rain_total,340.81600000000003,-0.051169395446777344
HTI_rain_wind_rain_total,342.1456,-0.051169395446777344
HTI_rain_wind_rain_total,343.4752,-0.051169395446777344
HTI_rain_wind_rain_total,344.8048,-0.051169395446777344
HTI_rain_wind_rain_total,346.13439999999997,-0.051169395446777344
HTI_rain_wind_rain_total,347.464,-0.051169395446777344
HTI_rain_wind_rain_total,348.7936,-0.051169395446777344
HTI_rain_wind_rain_total,350.1232,-0.051169395446777344
HTI_rain_wind_rain_total,351.4528,-0.051169395446777344
HTI_rain_wind_rain_total,352.7824,-0.051169395446777344
HTI_rain_wind_rain_total,354.112,-0.051169395446777344
HTI_rain_wind_rain_total,355.4416,-0.051169395446777344
HTI_rain_wind_rain_total,356.77119999999996,-0.051169395446777344
HTI_rain_wind_rain_total,358.1008,-0.051169395446777344
HTI_rain_wind_rain_total,359.43039999999996,-0.051169395446777344
HTI_rain_wind_rain_total,360.76000000000005,-0.051169395446777344
HTI_rain_wind_rain_total,362.0896,-0.051169395446777344
HTI_rain_wind_rain_total,363.4192,-0.051169395446777344
HTI_rain_wind_rain_total,364.7488,-0.051169395446777344
HTI_rain_wind_rain_total,366.0784,-0.051169395446777344
HTI_rain_wind_rain_total,367.408,-0.051169395446777344
HTI_rain_wind_rain_total,368.7376,-0.051169395446777344
HTI_rain_wind_rain_total,370.06719999999996,-0.051169395446777344
HTI_rain_wind_rain_total,371.3968,-0.051169395446777344
HTI_rain_wind_rain_total,372.7264,-0.051169395446777344
HTI_rain_wind_rain_total,374.05600000000004,-0.051169395446777344
HTI_rain_wind_rain_total,375.3856,-0.051169395446777344
HTI_rain_wind_rain_total,376.7152,-0.051169395446777344
HTI_rain_wind_rain_total,378.0448,-0.051169395446777344
HTI_rain_wind_rain_total,379.3744,-0.051169395446777344
HTI_rain_wind_rain_total,380.704,-0.051169395446777344
HTI_rain_wind_rain_total,382.0336,-0.051169395446777344
