Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.48624E-6,0.000748624,0.062716231,1,0,0
8.81797E-6,0.001630421,0.073057775,0.999900299,0,0
9.28974E-6,0.002559395,0.076666783,0.999800598,0,0
9.78675E-6,0.005440073,0.080438603,0.999501496,0,0
1.02995E-5,0.014530558,0.084297743,0.998604187,0,0
1.08507E-5,0.04961352,0.088409873,0.995314058,0,0
1.0862E-5,0.050699717,0.088493907,0.995214357,0,0
1.3394E-5,0.10536864,0.10691746,0.990628116,0,0
1.66152E-5,0.201025055,0.129305617,0.984247258,0,0
1.85476E-5,0.301103724,0.142205751,0.978564307,0.002994012,0
2.05091E-5,0.40094536,0.154914468,0.973479561,0.002994012,0
2.28691E-5,0.500468247,0.169715242,0.96889332,0.002994012,0
2.50134E-5,0.601530318,0.182720819,0.964705882,0.002994012,0
2.67648E-5,0.702463391,0.193044935,0.960817547,0.005988024,0
2.74002E-5,0.751279608,0.196726612,0.959022931,0.005988024,0
2.83449E-5,0.801438875,0.202137784,0.957228315,0.005988024,0
3.02231E-5,0.900704194,0.212683197,0.953838485,0.005988024,0
3.16117E-5,1.002771466,0.22030255,0.950548355,0.005988024,0
3.27678E-5,1.102839409,0.226534087,0.947457627,0.005988024,0
3.36087E-5,1.202517447,0.231004385,0.9444666,0.005988024,0
3.61757E-5,1.302484644,0.244337455,0.941575274,0.008982036,0
3.8571E-5,1.403725903,0.256368357,0.93888335,0.011976048,0
4.06074E-5,1.503047212,0.266299185,0.936390828,0.011976048,0
4.31353E-5,1.755390849,0.278263679,0.930408774,0.01497006,0
4.39369E-5,2.008445128,0.28197689,0.924626122,0.020958084,0
4.46183E-5,2.251872144,0.285102879,0.919142572,0.023952096,0
4.52585E-5,2.507702869,0.288015679,0.913459621,0.026946108,0
4.6008E-5,2.754084493,0.291395538,0.908075773,0.02994012,0
4.6774E-5,3.00437182,0.294816516,0.902691924,0.032934132,0
4.74598E-5,3.25420318,0.297851678,0.897407777,0.035928144,0
4.83985E-5,3.512751572,0.301964113,0.892023928,0.035928144,0
4.91807E-5,3.751765629,0.305354113,0.887138584,0.035928144,0
5.02059E-5,4.000433834,0.309747398,0.882153539,0.041916168,0
5.08115E-5,4.252891742,0.312317004,0.877168495,0.041916168,0
5.16423E-5,4.503640044,0.315810717,0.872283151,0.04491018,0
5.23713E-5,4.753526551,0.318847621,0.867497507,0.047904192,0
5.3027E-5,5.00124096,0.321555805,0.862811565,0.050898204,0
5.36586E-5,5.251966198,0.324144376,0.858125623,0.050898204,0
5.43154E-5,5.500242228,0.326815538,0.853539382,0.050898204,0
5.52447E-5,5.757561552,0.330558505,0.84885344,0.053892216,0
5.59565E-5,6.007769747,0.333397894,0.844366899,0.056886228,0
5.69252E-5,6.256227132,0.337223107,0.83998006,0.056886228,0
5.74492E-5,6.507867411,0.339273836,0.83559322,0.056886228,0
5.7999E-5,6.750242632,0.34141226,0.831405783,0.056886228,0
5.87344E-5,7.001180798,0.34425098,0.827118644,0.056886228,0
5.9247E-5,7.266641434,0.346215485,0.822632104,0.05988024,0
5.97642E-5,7.504681049,0.348185249,0.818644068,0.065868263,0
6.0182E-5,7.756737678,0.349768195,0.81445663,0.068862275,0
6.0683E-5,8.01067879,0.351655951,0.810269192,0.071856287,0
6.11423E-5,8.254387614,0.353377073,0.806281157,0.071856287,0
6.15795E-5,8.505933686,0.355006567,0.80219342,0.071856287,0
6.19919E-5,8.759270116,0.356536395,0.798105683,0.074850299,0
6.231E-5,9.001774389,0.357711598,0.794217348,0.074850299,0
6.26902E-5,9.258027406,0.359110512,0.790129611,0.077844311,0
6.30727E-5,9.509520635,0.360511825,0.786141575,0.080838323,0
6.34371E-5,9.756264491,0.361840915,0.78225324,0.080838323,0
6.37628E-5,10.004298073,0.363024338,0.778364905,0.086826347,0
6.41162E-5,10.266422685,0.364303092,0.774277168,0.086826347,0
6.44214E-5,10.510582165,0.365403648,0.770488534,0.089820359,0
6.48514E-5,10.756135706,0.366947837,0.7666999,0.092814371,0
6.51392E-5,11.003098133,0.367977069,0.762911266,0.098802395,0
6.54175E-5,11.251108423,0.368968987,0.759122632,0.107784431,0
6.57609E-5,11.513466505,0.370188866,0.755134596,0.113772455,0
6.60459E-5,11.750696556,0.371197572,0.751545364,0.113772455,0
6.63651E-5,12.002265646,0.372323821,0.74775673,0.113772455,0
6.66567E-5,12.254978372,0.373348958,0.743968096,0.113772455,0
6.70276E-5,12.50218301,0.374648114,0.740279163,0.116766467,0
6.72623E-5,12.750565669,0.375467333,0.736590229,0.119760479,0
6.75547E-5,13.026940483,0.376485013,0.732502493,0.122754491,0
6.78623E-5,13.277396229,0.377552069,0.728813559,0.125748503,0
6.82254E-5,13.522364538,0.378806856,0.725224327,0.125748503,0
6.85011E-5,13.761600374,0.379756546,0.721734796,0.125748503,0
6.88542E-5,14.001929917,0.380968156,0.718245264,0.128742515,0
6.90991E-5,14.257101615,0.381805696,0.714556331,0.128742515,0
6.95572E-5,14.50685436,0.383366792,0.710967099,0.137724551,0
6.998E-5,14.751072865,0.384800111,0.707477567,0.137724551,0
7.03198E-5,15.02465018,0.385947506,0.703589232,0.140718563,0
7.06459E-5,15.257397668,0.387044665,0.700299103,0.140718563,0
7.09526E-5,15.512360058,0.388072993,0.69670987,0.143712575,0
7.13065E-5,15.754281329,0.389255004,0.69332004,0.146706587,0
7.15504E-5,16.032855925,0.390066999,0.689431705,0.146706587,0
7.18549E-5,16.262288536,0.391078079,0.686241276,0.149700599,0
7.22355E-5,16.528806131,0.392336803,0.682552343,0.155688623,0
7.27424E-5,16.753704429,0.394005089,0.679461615,0.158682635,0
7.31148E-5,17.001777494,0.395224965,0.676071785,0.158682635,0
7.34873E-5,17.251014497,0.396440156,0.672681954,0.158682635,0
7.38692E-5,17.545799936,0.397681081,0.668693918,0.158682635,0
7.42675E-5,17.753141803,0.398970114,0.665902293,0.158682635,0
7.4591E-5,18.006160293,0.400012555,0.662512463,0.161676647,0
7.49896E-5,18.267988817,0.401292314,0.659022931,0.167664671,0
7.55041E-5,18.52373094,0.402936183,0.655633101,0.167664671,0
7.5844E-5,18.750775351,0.404017242,0.652642074,0.167664671,0
7.62956E-5,19.009509692,0.405447659,0.649252243,0.167664671,0
7.66278E-5,19.276991503,0.406495578,0.645762712,0.173652695,0
7.7744E-5,19.507766898,0.409988887,0.642771685,0.176646707,0
7.87359E-5,19.750613315,0.413059125,0.639680957,0.176646707,0
7.99549E-5,20.028697025,0.416788933,0.636191426,0.179640719,0
8.06403E-5,20.253520152,0.418865201,0.633399801,0.182634731,0
8.1401E-5,20.512815931,0.421152416,0.630209372,0.182634731,0
