Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.29669E-5,0.00329669,0.211330756,1,0,0
3.37719E-5,0.069310997,0.215379688,0.998,0,0
3.42846E-5,0.266587657,0.217937027,0.9922,0,0
3.4463E-5,0.304318603,0.218822786,0.9911,0,0
3.58324E-5,0.718011771,0.225556286,0.9791,0.00591716,0
3.62758E-5,0.750619324,0.227712194,0.9782,0.00591716,0
3.71586E-5,0.80874894,0.231968043,0.9766,0.00591716,0
3.90857E-5,0.993010922,0.241097926,0.9718,0.00591716,0
3.91568E-5,1.055555174,0.241430347,0.9702,0.00591716,0
4.01314E-5,1.106556429,0.24596182,0.9689,0.00591716,0
4.1428E-5,1.215374596,0.251906589,0.9662,0.00591716,0
4.15359E-5,1.335526605,0.252396955,0.9633,0.00887574,0
4.17272E-5,1.406156728,0.253264963,0.9616,0.01183432,0
4.18458E-5,1.523004665,0.253802167,0.9588,0.01183432,0
4.24863E-5,1.809867576,0.256689663,0.952,0.01183432,0
4.33232E-5,2.049885501,0.260429516,0.9464,0.014792899,0
4.45907E-5,2.30121672,0.266021625,0.9407,0.020710059,0
4.50641E-5,2.55674958,0.268088939,0.935,0.020710059,0
4.56811E-5,2.783589114,0.270765721,0.93,0.023668639,0
4.63835E-5,3.055531685,0.273788906,0.924,0.023668639,0
4.68664E-5,3.316248802,0.275853057,0.9185,0.032544379,0
4.72833E-5,3.686534928,0.277625701,0.9106,0.032544379,0
4.75515E-5,3.786063075,0.278761666,0.9085,0.032544379,0
4.75515E-5,4.061862014,0.278761666,0.9026,0.032544379,0
4.88336E-5,4.332100693,0.284141891,0.8971,0.035502959,0
4.89272E-5,4.522633268,0.284531565,0.8932,0.038461538,0
5.04314E-5,4.868303342,0.290735752,0.8862,0.041420118,0
5.04721E-5,5.110504174,0.290902233,0.8814,0.041420118,0
5.05351E-5,5.322493255,0.29115978,0.8772,0.044378698,0
5.07194E-5,5.600872639,0.291911566,0.8717,0.050295858,0
5.08211E-5,5.783491113,0.292325663,0.8681,0.053254438,0
5.09267E-5,6.10911691,0.292755525,0.8617,0.056213018,0
5.09267E-5,6.384121311,0.292755525,0.8562,0.056213018,0
5.11627E-5,6.563151063,0.293713728,0.8528,0.068047337,0
5.15801E-5,7.090169066,0.295402011,0.8425,0.071005917,0
5.17425E-5,7.306857147,0.29605646,0.8383,0.071005917,0
5.21877E-5,7.669553763,0.297845362,0.8313,0.073964497,0
5.24776E-5,7.831828652,0.299005031,0.8282,0.076923077,0
5.25945E-5,8.188688004,0.299471641,0.8214,0.079881657,0
5.27474E-5,8.262335591,0.300080871,0.82,0.079881657,0
5.32451E-5,8.517024207,0.302057194,0.8152,0.079881657,0
5.33702E-5,8.895560552,0.302552142,0.8081,0.079881657,0
5.34384E-5,9.034329895,0.302821745,0.8055,0.082840237,0
5.42244E-5,9.373349754,0.305913041,0.7992,0.082840237,0
5.4551E-5,9.639671464,0.307189584,0.7943,0.082840237,0
5.48029E-5,9.858438768,0.30817093,0.7903,0.082840237,0
5.48843E-5,10.017419671,0.308487503,0.7874,0.082840237,0
5.55345E-5,10.574034827,0.311005602,0.7773,0.085798817,0
5.5617E-5,10.757367345,0.311323617,0.774,0.085798817,0
5.62311E-5,11.119951901,0.313683192,0.7675,0.097633136,0
5.63628E-5,11.446114235,0.314186725,0.7617,0.100591716,0
5.63814E-5,11.598295569,0.314258129,0.759,0.100591716,0
5.6709E-5,11.886966777,0.315508009,0.7539,0.100591716,0
5.68084E-5,12.085458385,0.315886179,0.7504,0.100591716,0
5.74223E-5,12.370938542,0.318213521,0.7454,0.103550296,0
5.75286E-5,12.566461379,0.318614913,0.7419,0.103550296,0
5.84791E-5,12.892039244,0.322183192,0.7364,0.112426036,0
5.85057E-5,13.108414673,0.322282225,0.7327,0.112426036,0
