variable,x,y
HTI_rain_wind_rain_total,61.6,0.0
HTI_rain_wind_rain_total,62.9296,1.0967254638671875E-4
HTI_rain_wind_rain_total,64.2592,2.1958351135253906E-4
HTI_rain_wind_rain_total,65.5888,3.294944763183594E-4
HTI_rain_wind_rain_total,66.9184,4.391670227050781E-4
HTI_rain_wind_rain_total,68.248,5.490779876708984E-4
HTI_rain_wind_rain_total,69.5776,6.589889526367188E-4
HTI_rain_wind_rain_total,70.9072,7.686614990234375E-4
HTI_rain_wind_rain_total,72.2368,8.785724639892578E-4
HTI_rain_wind_rain_total,73.5664,9.884834289550781E-4
HTI_rain_wind_rain_total,74.896,0.0010981559753417969
HTI_rain_wind_rain_total,76.2256,0.0012080669403076172
HTI_rain_wind_rain_total,77.5552,0.0013179779052734375
HTI_rain_wind_rain_total,78.8848,0.0014276504516601562
HTI_rain_wind_rain_total,80.2144,0.0015375614166259766
HTI_rain_wind_rain_total,81.544,0.0016474723815917969
HTI_rain_wind_rain_total,82.8736,0.0017571449279785156
HTI_rain_wind_rain_total,84.2032,0.001867055892944336
HTI_rain_wind_rain_total,85.53280000000001,0.0019767284393310547
HTI_rain_wind_rain_total,86.86240000000001,0.002086639404296875
HTI_rain_wind_rain_total,88.19200000000001,0.0021965503692626953
HTI_rain_wind_rain_total,89.5216,0.002306222915649414
HTI_rain_wind_rain_total,90.8512,0.0024161338806152344
HTI_rain_wind_rain_total,92.1808,0.0025260448455810547
HTI_rain_wind_rain_total,93.5104,0.0026357173919677734
HTI_rain_wind_rain_total,94.84,0.0027456283569335938
HTI_rain_wind_rain_total,96.1696,0.002855539321899414
HTI_rain_wind_rain_total,97.4992,0.002965211868286133
HTI_rain_wind_rain_total,98.8288,0.003075122833251953
HTI_rain_wind_rain_total,100.1584,0.0031850337982177734
HTI_rain_wind_rain_total,101.488,0.003294706344604492
HTI_rain_wind_rain_total,102.8176,0.0034046173095703125
HTI_rain_wind_rain_total,104.1472,0.003514528274536133
HTI_rain_wind_rain_total,105.4768,0.0036242008209228516
HTI_rain_wind_rain_total,106.8064,0.003734111785888672
HTI_rain_wind_rain_total,108.136,0.003844022750854492
HTI_rain_wind_rain_total,109.4656,0.003953695297241211
HTI_rain_wind_rain_total,110.7952,0.004063606262207031
HTI_rain_wind_rain_total,112.1248,0.0041735172271728516
HTI_rain_wind_rain_total,113.45439999999999,0.00428318977355957
HTI_rain_wind_rain_total,114.78399999999999,0.004393100738525391
HTI_rain_wind_rain_total,116.11359999999999,0.004503011703491211
HTI_rain_wind_rain_total,117.44319999999999,0.00453948974609375
HTI_rain_wind_rain_total,118.77279999999999,0.004429817199707031
HTI_rain_wind_rain_total,120.10239999999999,0.004319906234741211
HTI_rain_wind_rain_total,121.43199999999999,0.004209995269775391
HTI_rain_wind_rain_total,122.7616,0.004100322723388672
HTI_rain_wind_rain_total,124.0912,0.0039904117584228516
HTI_rain_wind_rain_total,125.4208,0.0038805007934570312
HTI_rain_wind_rain_total,126.75039999999998,0.0037708282470703125
HTI_rain_wind_rain_total,128.08,0.003660917282104492
HTI_rain_wind_rain_total,129.40959999999998,0.003551006317138672
HTI_rain_wind_rain_total,130.7392,0.003441333770751953
HTI_rain_wind_rain_total,132.06879999999998,0.003331422805786133
HTI_rain_wind_rain_total,133.3984,0.0032215118408203125
HTI_rain_wind_rain_total,134.728,0.0031118392944335938
HTI_rain_wind_rain_total,136.05759999999998,0.0030019283294677734
HTI_rain_wind_rain_total,137.3872,0.002892017364501953
HTI_rain_wind_rain_total,138.71679999999998,0.0027823448181152344
HTI_rain_wind_rain_total,140.0464,0.002672433853149414
HTI_rain_wind_rain_total,141.376,0.0025625228881835938
HTI_rain_wind_rain_total,142.7056,0.002452850341796875
HTI_rain_wind_rain_total,144.0352,0.0023429393768310547
HTI_rain_wind_rain_total,145.3648,0.0022330284118652344
HTI_rain_wind_rain_total,146.6944,0.0021233558654785156
HTI_rain_wind_rain_total,148.024,0.0020134449005126953
HTI_rain_wind_rain_total,149.3536,0.001903533935546875
HTI_rain_wind_rain_total,150.6832,0.0017938613891601562
HTI_rain_wind_rain_total,152.0128,0.001683950424194336
HTI_rain_wind_rain_total,153.3424,0.0015740394592285156
HTI_rain_wind_rain_total,154.672,0.0014643669128417969
HTI_rain_wind_rain_total,156.0016,0.0013544559478759766
HTI_rain_wind_rain_total,157.3312,0.0012445449829101562
HTI_rain_wind_rain_total,158.6608,0.0011348724365234375
HTI_rain_wind_rain_total,159.9904,0.0010249614715576172
HTI_rain_wind_rain_total,161.32,9.150505065917969E-4
HTI_rain_wind_rain_total,162.6496,8.053779602050781E-4
HTI_rain_wind_rain_total,163.9792,6.954669952392578E-4
HTI_rain_wind_rain_total,165.3088,5.855560302734375E-4
HTI_rain_wind_rain_total,166.6384,4.7588348388671875E-4
HTI_rain_wind_rain_total,167.968,3.6597251892089844E-4
HTI_rain_wind_rain_total,169.2976,2.562999725341797E-4
HTI_rain_wind_rain_total,170.6272,1.4638900756835938E-4
HTI_rain_wind_rain_total,171.9568,3.647804260253906E-5
HTI_rain_wind_rain_total,173.2864,-7.319450378417969E-5
HTI_rain_wind_rain_total,174.61599999999999,-1.8310546875E-4
HTI_rain_wind_rain_total,175.94559999999998,-2.930164337158203E-4
HTI_rain_wind_rain_total,177.2752,-4.0268898010253906E-4
HTI_rain_wind_rain_total,178.60479999999998,-0.03539252281188965
HTI_rain_wind_rain_total,179.93439999999998,-0.03550243377685547
HTI_rain_wind_rain_total,181.26399999999998,-0.03561210632324219
HTI_rain_wind_rain_total,182.59359999999998,-0.03572201728820801
HTI_rain_wind_rain_total,183.9232,-0.03583192825317383
HTI_rain_wind_rain_total,185.25279999999998,-0.03594160079956055
HTI_rain_wind_rain_total,186.5824,-0.03605151176452637
HTI_rain_wind_rain_total,187.91199999999998,-0.03616142272949219
HTI_rain_wind_rain_total,189.2416,-0.036271095275878906
HTI_rain_wind_rain_total,190.5712,-0.03638100624084473
HTI_rain_wind_rain_total,191.90079999999998,-0.03649091720581055
HTI_rain_wind_rain_total,193.23039999999997,-0.036600589752197266
HTI_rain_wind_rain_total,194.56,-0.036710500717163086
HTI_rain_wind_rain_total,195.88959999999997,-0.036820411682128906
HTI_rain_wind_rain_total,197.21919999999997,-0.036930084228515625
HTI_rain_wind_rain_total,198.54879999999997,-0.037039995193481445
HTI_rain_wind_rain_total,199.8784,-0.037149906158447266
HTI_rain_wind_rain_total,201.208,-0.037259578704833984
HTI_rain_wind_rain_total,202.53759999999997,-0.037369489669799805
HTI_rain_wind_rain_total,203.86719999999997,-0.037479400634765625
HTI_rain_wind_rain_total,205.1968,-0.037589073181152344
HTI_rain_wind_rain_total,206.5264,-0.037698984146118164
HTI_rain_wind_rain_total,207.856,-0.037808895111083984
HTI_rain_wind_rain_total,209.18559999999997,-0.0379185676574707
HTI_rain_wind_rain_total,210.51519999999996,-0.03802847862243652
HTI_rain_wind_rain_total,211.8448,-0.038138389587402344
HTI_rain_wind_rain_total,213.1744,-0.03824806213378906
HTI_rain_wind_rain_total,214.504,-0.03835797309875488
HTI_rain_wind_rain_total,215.83359999999996,-0.0384678840637207
HTI_rain_wind_rain_total,217.1632,-0.03857755661010742
HTI_rain_wind_rain_total,218.4928,-0.03868746757507324
HTI_rain_wind_rain_total,219.8224,-0.03879737854003906
HTI_rain_wind_rain_total,221.152,-0.03890705108642578
HTI_rain_wind_rain_total,222.48159999999996,-0.0390169620513916
HTI_rain_wind_rain_total,223.81119999999999,-0.03912687301635742
HTI_rain_wind_rain_total,225.14079999999998,-0.03923654556274414
HTI_rain_wind_rain_total,226.47039999999998,-0.03934645652770996
HTI_rain_wind_rain_total,227.79999999999998,-0.03945636749267578
HTI_rain_wind_rain_total,229.12959999999998,-0.0395660400390625
HTI_rain_wind_rain_total,230.45919999999998,-0.03967595100402832
HTI_rain_wind_rain_total,231.78879999999998,-0.03978586196899414
HTI_rain_wind_rain_total,233.11839999999998,-0.03989553451538086
HTI_rain_wind_rain_total,234.448,-0.04000544548034668
HTI_rain_wind_rain_total,235.77759999999998,-0.0401151180267334
HTI_rain_wind_rain_total,237.10719999999998,-0.04022502899169922
