Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.01341E-6,0.000301341,0.022704883,1,0,0
3.10395E-6,0.044607482,0.02337118,0.985341045,0,0
3.49418E-6,0.050510038,0.026232321,0.983546071,0,0
4.56104E-6,0.14899592,0.033969586,0.961108895,0,0
5.44765E-6,0.217244816,0.040306707,0.947846031,0,0
8.00493E-6,0.386136173,0.058127965,0.924611089,0.002824859,0
8.24546E-6,0.401369593,0.059770211,0.922716394,0.002824859,0
9.28208E-6,0.526213888,0.066782679,0.908755485,0.002824859,0
1.95475E-5,0.621932508,0.130967087,0.901675309,0.005649718,0
4.62396E-5,0.972546431,0.262804153,0.88392501,0.005649718,0
4.62396E-5,1.055777629,0.262804153,0.882030315,0.005649718,0
5.05343E-5,1.192148501,0.280369889,0.879337854,0.014124294,0
5.20528E-5,1.237781226,0.286381852,0.878440367,0.014124294,0
5.36169E-5,1.732439018,0.292470337,0.868966893,0.016949153,0
5.5228E-5,1.893450742,0.298634095,0.865975269,0.016949153,0
5.68875E-5,2.048254993,0.30487178,0.863183087,0.019774011,0
5.85968E-5,2.355618256,0.311181947,0.857798165,0.019774011,0
6.21712E-5,2.583749794,0.324013461,0.854008775,0.02259887,0
6.21712E-5,3.82095682,0.324013461,0.834064619,0.02259887,0
6.40393E-5,4.871202044,0.330531431,0.817710411,0.039548023,0
6.99874E-5,5.127023165,0.350471906,0.814020742,0.04519774,0
7.20903E-5,5.311513878,0.357240844,0.811328281,0.04519774,0
7.69647E-5,6.123499487,0.372400156,0.800757878,0.062146893,0
7.72581E-5,6.277458141,0.373290012,0.798763462,0.062146893,0
7.7745E-5,6.618451698,0.374760885,0.794375748,0.064971751,0
7.79896E-5,6.813168803,0.375497192,0.791783008,0.064971751,0
7.83579E-5,7.032103889,0.376602732,0.789090546,0.070621469,0
7.84811E-5,7.666815312,0.376971531,0.781013163,0.081920904,0
7.86044E-5,7.753156833,0.377340474,0.779916235,0.084745763,0
7.88517E-5,8.083703197,0.378078784,0.775727962,0.084745763,0
7.90998E-5,8.304735942,0.37881766,0.77293578,0.087570621,0
7.92241E-5,8.851171112,0.379187309,0.765955325,0.087570621,0
7.95983E-5,9.16096765,0.380297098,0.762165935,0.096045198,0
7.97234E-5,9.304257096,0.380667306,0.760370961,0.098870056,0
7.98487E-5,10.866848469,0.381037653,0.740825688,0.098870056,0
7.99742E-5,11.02655846,0.381408138,0.738831272,0.098870056,0
7.99742E-5,11.354452789,0.381408138,0.734643,0.098870056,0
8.02258E-5,11.570735193,0.382149523,0.732050259,0.104519774,0
8.04782E-5,11.907961127,0.382891457,0.727861986,0.110169492,0
8.06047E-5,12.237934518,0.383262628,0.723773434,0.110169492,0
8.07314E-5,12.786059322,0.383633936,0.716992421,0.115819209,0
8.08583E-5,13.020193132,0.38400538,0.714100519,0.121468927,0
8.11127E-5,13.546267864,0.384748673,0.707618668,0.129943503,0
8.12402E-5,13.879212422,0.385120522,0.703430395,0.129943503,0
8.13679E-5,14.074495356,0.385492504,0.701037096,0.13559322,0
8.16239E-5,14.30269636,0.386236871,0.698344635,0.144067797,0
8.18807E-5,14.58873919,0.38698177,0.694854408,0.146892655,0
8.20094E-5,14.75251341,0.387354418,0.692859992,0.152542373,0
8.21383E-5,15.326591928,0.387727198,0.685879537,0.15819209,0
8.22674E-5,15.844075992,0.38810011,0.679597128,0.15819209,0
8.25262E-5,16.173468819,0.388846325,0.675608297,0.161016949,0
8.26559E-5,16.363292059,0.389219629,0.673314719,0.161016949,0
8.27858E-5,17.512222326,0.389593062,0.65945353,0.169491525,0
8.2916E-5,17.959669234,0.389966625,0.653968887,0.169491525,0
8.31768E-5,18.549310942,0.390714138,0.646988432,0.175141243,0
8.33076E-5,18.798998293,0.391088088,0.643897088,0.177966102,0
8.35697E-5,19.650084141,0.39183637,0.633825289,0.192090395,0
8.3701E-5,19.900806233,0.392210701,0.630833666,0.192090395,0
8.38326E-5,20.151922412,0.39258516,0.627842042,0.200564972,0
8.39643E-5,20.311217471,0.392959745,0.625947347,0.200564972,0
8.42285E-5,20.664171256,0.393709293,0.621759075,0.203389831,0
8.43609E-5,20.925292835,0.394084254,0.61866773,0.206214689,0
8.44935E-5,21.102463959,0.394459341,0.616573594,0.206214689,0
8.47593E-5,21.305420998,0.395209887,0.614180295,0.206214689,0
8.51596E-5,21.645111524,0.396336631,0.610191464,0.209039548,0
8.51596E-5,21.85801056,0.396336631,0.607598724,0.209039548,0
8.54275E-5,22.821840165,0.397088406,0.596429996,0.220338983,0
8.56963E-5,23.172428764,0.397840668,0.592341444,0.225988701,0
8.5831E-5,23.300986677,0.39821698,0.590845632,0.225988701,0
8.59659E-5,23.635741044,0.398593412,0.586956522,0.228813559,0
8.6101E-5,23.790493183,0.398969965,0.585161548,0.234463277,0
8.63719E-5,24.178475621,0.399723427,0.580674112,0.240112994,0
8.65077E-5,24.35123301,0.400100337,0.578679697,0.240112994,0
8.65077E-5,24.688612908,0.400100337,0.574690866,0.240112994,0
8.66436E-5,24.887893279,0.400477365,0.572397288,0.242937853,0
8.70528E-5,25.044274309,0.401609155,0.570702034,0.245762712,0
8.73267E-5,25.401546746,0.402364265,0.566613482,0.248587571,0
8.7464E-5,25.515085206,0.402741994,0.565317112,0.248587571,0
8.77391E-5,25.847709555,0.403497798,0.561527722,0.248587571,0
8.77391E-5,26.049509596,0.403497798,0.559134424,0.248587571,0
8.80152E-5,26.25164064,0.40425406,0.556940566,0.259887006,0
8.81535E-5,26.542104578,0.404632362,0.553649781,0.259887006,0
8.82921E-5,27.150377762,0.405010778,0.546769047,0.265536723,0
8.85699E-5,27.336027087,0.405767947,0.54467491,0.268361582,0
8.87091E-5,27.504323743,0.4061467,0.542780215,0.268361582,0
8.87091E-5,28.072061823,0.4061467,0.536298365,0.268361582,0
8.89882E-5,29.706888344,0.40690454,0.518049462,0.310734463,0
8.9128E-5,29.82258694,0.407283627,0.516753091,0.310734463,0
8.92681E-5,30.063246639,0.407662824,0.51406063,0.316384181,0
8.94084E-5,30.69706436,0.408042131,0.506980455,0.31920904,0
8.9549E-5,31.197765663,0.408421548,0.501396091,0.322033898,0
8.96897E-5,31.475381546,0.408801073,0.498304747,0.327683616,0
8.98307E-5,31.690650981,0.409180708,0.495911448,0.327683616,0
8.99719E-5,31.861343429,0.409560451,0.494016753,0.327683616,0
9.01133E-5,32.131273256,0.409940302,0.49102513,0.330508475,0
9.0255E-5,32.284480053,0.41032026,0.489329876,0.330508475,0
9.05389E-5,32.600698701,0.411080497,0.485839649,0.330508475,0
9.06812E-5,33.23448526,0.411460775,0.478859194,0.344632768,0
9.08237E-5,33.352385091,0.411841159,0.477562824,0.347457627,0
9.11095E-5,33.616030942,0.412602242,0.474670921,0.347457627,0
9.12527E-5,33.780042338,0.412982941,0.472875947,0.347457627,0
9.15398E-5,35.031868052,0.41374465,0.4592142,0.355932203,0
9.16837E-5,35.27928445,0.41412566,0.456422018,0.355932203,0
9.22615E-5,35.647346562,0.415650722,0.452532908,0.361581921,0
9.24065E-5,35.813431692,0.416032241,0.450737934,0.361581921,0
9.25517E-5,36.072184353,0.416413861,0.447945752,0.367231638,0
