X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-72.341266,19.173888,train,8.02258323677481E-5,11.570778438816504,0.38214952281303655
-72.643786,19.526274,train,9.505611294606375E-5,41.20088675344805,0.42291637763325457
-71.75,19.166667,train,8.175217631103825E-5,14.445580001087778,0.386609254357922
-72.66656,19.47498,train,9.505611294606375E-5,41.20088675344805,0.42291637763325457
-72.478343,19.410211,train,9.475799639298428E-5,39.26260174993969,0.42214994196965844
-72.695,19.44306,train,9.505611294606375E-5,41.20088675344805,0.42291637763325457
-72.480701,19.483752,train,9.565516270148915E-5,42.06951939213639,0.42445035917946583
-72.438467,19.441674,train,8.912803327342245E-5,29.822644096115845,0.4072836266864247
-72.61005,19.30483,train,1.1135546142564184E-4,56.27823503498761,0.4619356290329788
-72.676419,19.67143,train,1.2968039989345848E-4,72.05988287728582,0.49994821746820706
-72.719826,19.645904,train,1.2968039989345848E-4,72.05988287728582,0.49994821746820706
-72.780749,19.598861,train,8.54275337185003E-5,22.82188414313162,0.3970884062707235
-72.918254,19.63385,train,8.18806749032315E-5,14.588711235363364,0.3869817701445682
-72.699036,19.113489,train,1.1329598563326098E-4,59.01405721298426,0.4662323902544913
-72.491499,19.074761,train,8.265591905820668E-5,16.363460623668953,0.3892196288642509
-72.467605,19.050792,train,8.265591905820668E-5,16.363460623668953,0.3892196288642509
-72.316337,18.914082,train,8.085831490040774E-5,13.020223944610104,0.3840053799658666
-72.516821,19.261275,train,2.282211035666229E-4,85.95048497486515,0.6376166982936466
-72.477194,19.121192,train,8.529346890002707E-5,22.339633587379137,0.3967124576285652
-72.303965,19.107753,train,8.136788921671375E-5,14.074478865852958,0.3854925044969668
-72.689717,19.256353,train,7.762298193480209E-5,6.532998064666476,0.3743929488529901
-72.689355,19.310932,train,1.3572347723622027E-4,75.27621307742515,0.5113329259238238
-72.334125,19.370787,train,8.529346890002707E-5,22.339633587379137,0.3967124576285652
-72.431867,19.314418,train,8.529346890002707E-5,22.339633587379137,0.3967124576285652
-72.361379,19.51827,train,9.686461175481228E-5,44.341456656482656,0.42752266445908543
-72.14778,18.92361,train,1.378719401071918E-4,76.05507720631064,0.5152565606876033
-71.723428,19.240644,train,8.200937547033155E-5,14.752482195335539,0.3873544182002361
-72.041447,19.153611,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-72.114809,19.128249,train,5.522796446128334E-5,1.8934471902961711,0.2986340953098977
-71.790428,19.168004,train,8.200937547033155E-5,14.752482195335539,0.3873544182002361
-72.019037,19.144339,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-72.138886,19.176316,train,5.205277706138343E-5,1.237780536667381,0.2863818523101684
-71.964794,19.017612,train,8.773914826823727E-5,26.049544932867768,0.40349779790712836
-71.933998,19.267771,train,1.1400998424293269E-4,61.282429835972145,0.46779612583308655
-72.081949,18.785057,train,1.484342628958095E-4,79.11500881664392,0.5336645156017514
-72.201872,18.818461,train,1.4520610874567007E-4,77.84070440206972,0.5281885985242929
-72.2,18.967,train,9.139612396912978E-5,34.40540566980288,0.4133637438096522
-71.935658,18.831787,train,9.886266743069696E-5,47.34069813800394,0.4325270042052161
-71.81155,18.863227,train,1.1048442689623419E-4,55.147406567258805,0.4599843848180297
-71.782641,18.800683,train,1.1048442689623419E-4,55.147406567258805,0.4599843848180297
-71.841443,18.74609,train,9.839795017277873E-5,46.27993895109813,0.43137089518681354
-71.694767,19.234567,train,8.07314207383347E-5,12.786097584768452,0.3836339362768259
-71.750002,19.049998,train,7.922413468629928E-5,8.851199828449571,0.37918730939672446
-71.83926,19.0827,train,7.997422678582221E-5,11.354475814842685,0.381408138207638
-72.05128,19.0677,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-72.097623,19.106075,train,5.859683634054532E-5,2.355620575389127,0.31118194677316
-72.006075,19.164706,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-72.082558,19.067701,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-72.090455,19.077812,train,6.217120733333766E-5,3.820960942800092,0.32401346069674847
-71.907128,19.166856,train,7.20903496407213E-5,5.311522147233407,0.35724084421438346
-71.916731,19.155508,train,7.20903496407213E-5,5.311522147233407,0.35724084421438346
-71.93,18.833479,train,9.886266743069696E-5,47.34069813800394,0.4325270042052161
-74.259101,18.559778,train,1.3961517155161308E-4,76.70158148066253,0.5183941381644264
-74.161063,18.533918,train,9.05389039212278E-5,32.60071616566252,0.41108049699648797
-74.45329,18.40558,train,8.596590354653752E-5,23.63574510642981,0.3985934122742206
-74.068092,18.559733,train,8.596590354653752E-5,23.63574510642981,0.3985934122742206
